zip,latitude,longitude,source
00802,18.342939,-64.925102,census
00820,17.736627,-64.708215,census
00830,18.338559,-64.73653,census
00840,17.72471,-64.848522,census
00850,17.726822,-64.792245,census
00851,17.747525,-64.787439,census
00901,18.466594,-66.107982,census
00906,18.46446,-66.094995,census
00907,18.452271,-66.087625,census
00909,18.441246,-66.068766,census
00911,18.453656,-66.056338,census
00912,18.445067,-66.059942,census
00913,18.464629,-66.04459,census
00915,18.437179,-66.045571,census
00917,18.420674,-66.050105,census
00918,18.422249,-66.069081,census
00920,18.422439,-66.09214,census
00921,18.392088,-66.087109,census
00923,18.410804,-66.037358,census
00924,18.399186,-66.01258,census
00925,18.400271,-66.05059,census
00926,18.348601,-66.053929,census
00927,18.388202,-66.070033,census
00934,18.413,-66.119829,census
00949,18.409879,-66.227441,census
00950,18.467225,-66.237929,census
00951,18.42805,-66.259772,census
00952,18.428724,-66.188931,census
00953,18.360729,-66.251527,census
00956,18.321137,-66.170419,census
00957,18.366147,-66.188962,census
00959,18.385785,-66.155654,census
00960,18.416918,-66.142693,census
00961,18.409907,-66.163361,census
00962,18.439988,-66.1355,census
00965,18.430508,-66.110917,census
00966,18.397875,-66.113935,census
00968,18.406063,-66.101232,census
00969,18.366226,-66.110047,census
00971,18.318884,-66.11919,census
00976,18.33618,-65.994101,census
00979,18.438359,-65.999169,census
00982,18.408744,-65.991273,census
00983,18.41722,-65.981317,census
00985,18.410774,-65.947927,census
00987,18.343988,-65.943754,census
01001,42.062368,-72.625754,census
01002,42.377212,-72.464795,census
01003,42.391883,-72.523584,census
01004,42.3845,-72.5132,geonames
01005,42.418884,-72.112077,census
01007,42.283935,-72.400409,census
01008,42.192024,-72.964076,census
01009,42.211386,-72.341809,census
01010,42.128176,-72.205352,census
01011,42.290128,-72.966516,census
01012,42.375425,-72.858192,census
01013,42.142009,-72.595496,census
01014,42.1707,-72.6048,geonames
01020,42.172611,-72.56192,census
01021,42.1707,-72.6048,geonames
01022,42.197187,-72.541872,census
01026,42.470032,-72.925707,census
01027,42.295008,-72.751877,census
01028,42.062378,-72.498111,census
01029,42.176271,-73.035292,census
01030,42.072925,-72.686972,census
01031,42.327809,-72.191968,census
01032,42.457613,-72.81478,census
01033,42.244949,-72.500143,census
01034,42.093912,-72.961103,census
01035,42.356491,-72.568632,census
01036,42.071188,-72.417718,census
01037,42.376036,-72.197364,census
01038,42.379925,-72.604045,census
01039,42.411304,-72.690951,census
01040,42.211658,-72.642448,census
01041,42.2043,-72.6162,geonames
01050,42.291259,-72.874803,census
01053,42.356301,-72.713584,census
01054,42.468898,-72.484579,census
01056,42.183577,-72.457812,census
01057,42.093596,-72.321494,census
01059,42.4104,-72.5309,geonames
01060,42.321251,-72.630395,census
01061,42.3696,-72.636,geonames
01062,42.323033,-72.701789,census
01063,42.319584,-72.639539,census
01066,42.413039,-72.623639,census
01068,42.353887,-72.060685,census
01069,42.188862,-72.30648,census
01070,42.519909,-72.925354,census
01071,42.160064,-72.87384,census
01072,42.456968,-72.417244,census
01073,42.226949,-72.741588,census
01074,42.380823,-72.103895,census
01075,42.256532,-72.580248,census
01077,42.05257,-72.777353,census
01079,42.185745,-72.33246,census
01080,42.185727,-72.361558,census
01081,42.061313,-72.234411,census
01082,42.299749,-72.279164,census
01083,42.20684,-72.198619,census
01084,42.361724,-72.874987,census
01085,42.153503,-72.771602,census
01086,42.1734,-72.848,geonames
01088,42.3827,-72.640361,census
01089,42.125451,-72.649734,census
01090,42.1707,-72.6048,geonames
01092,42.191868,-72.235108,census
01093,42.445258,-72.645058,census
01094,42.369762,-72.139283,census
01095,42.138527,-72.420703,census
01096,42.410538,-72.76577,census
01097,42.165868,-72.830985,census
01098,42.397559,-72.943392,census
01101,42.1015,-72.5898,geonames
01102,42.1707,-72.6048,geonames
01103,42.104418,-72.59008,census
01104,42.132772,-72.567411,census
01105,42.095246,-72.577603,census
01106,42.045695,-72.563323,census
01107,42.12106,-72.607068,census
01108,42.082947,-72.55951,census
01109,42.119674,-72.549726,census
01111,42.1707,-72.6048,geonames
01115,42.1029,-72.5916,geonames
01116,42.1707,-72.6048,geonames
01118,42.094587,-72.525219,census
01119,42.124978,-72.51121,census
01128,42.092296,-72.489135,census
01129,42.118671,-72.488203,census
01138,42.1707,-72.6048,geonames
